upi_id,customer_id,bank_name,account_type,date_added,status,customer_id_check
elizabeth4408@upi,cust106759,sbi,current,2/22/2022,active,Valid
daniel5127@upi,cust104765,hdfc,savings,4/2/2022,active,Valid
heidi2675@upi,cust102710,axis,savings,12/19/2023,active,Valid
dr.3519@upi,cust107076,axis,credit_card_linked,1/23/2025,active,Valid
jeremy9552@upi,cust102202,sbi,current,7/18/2025,active,Valid
michael1769@upi,cust108834,hdfc,savings,4/21/2024,active,Valid
dennis4906@upi,cust106735,pnb,current,6/13/2021,active,Valid
omar6644@upi,cust106890,pnb,current,9/10/2024,active,Valid
rachael7253@upi,cust100697,axis,credit_card_linked,1/11/2024,active,Valid
ashley3227@upi,cust109510,axis,savings,2/8/2023,active,Valid
brooke9375@upi,cust101306,sbi,current,11/19/2023,active,Valid
kayla1379@upi,cust109780,icici,credit_card_linked,3/3/2025,active,Valid
susan1668@upi,cust106234,hdfc,current,1/17/2025,active,Valid
kathleen6696@upi,cust102667,icici,credit_card_linked,1/30/2025,active,Valid
laurie7296@upi,cust104084,pnb,credit_card_linked,1/29/2021,active,Valid
tyler3680@upi,cust107871,kotak,savings,12/20/2024,active,Valid
francisco4261@upi,cust104904,pnb,credit_card_linked,11/28/2023,active,Valid
christina3163@upi,cust107719,icici,savings,1/14/2024,active,Valid
carla8324@upi,cust100480,icici,savings,7/1/2025,active,Valid
holly6443@upi,cust109268,hdfc,current,2/12/2025,active,Valid
laura3343@upi,cust107141,sbi,credit_card_linked,1/6/2025,active,Valid
nichole5977@upi,cust108526,hdfc,current,5/20/2024,active,Valid
howard8214@upi,cust109891,kotak,credit_card_linked,12/7/2022,active,Valid
walter5491@upi,cust105686,sbi,credit_card_linked,2/18/2025,active,Valid
angela8577@upi,cust108864,icici,current,4/21/2022,active,Valid
mrs.8483@upi,cust106621,axis,credit_card_linked,2/2/2024,active,Valid
daniel8497@upi,cust102046,axis,savings,11/29/2023,active,Valid
margaret5324@upi,cust109685,icici,current,4/20/2025,active,Valid
robert2919@upi,cust101252,hdfc,credit_card_linked,9/28/2022,blocked,Valid
michael9931@upi,cust109580,kotak,current,2/24/2023,active,Valid
karen3250@upi,cust100144,axis,savings,4/23/2025,blocked,Valid
jesse7774@upi,cust104949,icici,savings,2/4/2025,active,Valid
kathryn6686@upi,cust103099,hdfc,savings,10/27/2024,active,Valid
andrew7688@upi,cust100155,hdfc,credit_card_linked,12/24/2023,active,Valid
charles8327@upi,cust107704,icici,current,2/13/2025,active,Valid
sarah4174@upi,cust101778,sbi,credit_card_linked,4/6/2023,active,Valid
terri7990@upi,cust100358,icici,current,10/14/2024,active,Valid
richard6307@upi,cust100142,pnb,current,1/18/2024,active,Valid
marcus4564@upi,cust109279,hdfc,savings,10/6/2022,active,Valid
crystal1462@upi,cust102087,kotak,current,5/24/2022,active,Valid
jonathon3300@upi,cust107247,kotak,current,6/4/2023,active,Valid
adam4804@upi,cust101281,hdfc,credit_card_linked,9/16/2024,active,Valid
melissa8609@upi,cust105310,axis,credit_card_linked,4/5/2023,active,Valid
karen5304@upi,cust100144,sbi,current,3/13/2025,active,Valid
andrea5124@upi,cust103725,kotak,credit_card_linked,7/29/2025,active,Valid
