transaction_id,upi_id,customer_id,timestamp,amount,transaction_type,merchant_id,counterparty_upi,status,device_id,device_type,channel,fraud_flag,reversal_flag,failure_reason,customer_id_check,merchant_id_check,validation_status,upi_id_check,device_id_check
txn10000000,marisa9078@upi,cust101488,6/4/2025 21:36,9.88,send,,user6545@upi,success,dev101488,feature_phone,app,FALSE,FALSE,,Valid,Missing,Review,Valid,Valid
txn10000001,michelle5950@upi,cust107876,5/22/2025 4:26,76.25,receive,,user3199@upi,success,dev107876,ios,app,FALSE,FALSE,,Valid,Missing,Review,Valid,Valid
txn10000002,jeffery4732@upi,cust100901,8/2/2025 2:34,26.44,merchant_payment,merch1113,user4690@upi,success,dev100901,android,intent,FALSE,FALSE,,Valid,Valid,No Review,Valid,Valid
txn10000003,troy1833@upi,cust105890,1/30/2025 3:53,84.43,send,,user1982@upi,success,dev105890,tablet,qr_code,FALSE,FALSE,,Valid,Missing,Review,Valid,Valid
txn10000004,tammy4986@upi,cust106780,7/5/2025 21:36,10.33,receive,,user4914@upi,success,dev106780,tablet,qr_code,FALSE,FALSE,,Valid,Missing,Review,Valid,Valid
txn10000005,michael9604@upi,cust102097,4/2/2025 10:32,37.61,send,,user7131@upi,success,dev201416,ios,qr_code,FALSE,FALSE,,Valid,Missing,Review,Valid,Valid
txn10000006,stephanie3115@upi,cust108896,7/30/2024 3:10,77.74,send,,user3421@upi,failed,dev108896,feature_phone,app,FALSE,TRUE,incorrect_pin,Valid,Missing,Review,Valid,Valid
txn10000007,savannah6574@upi,cust102418,8/5/2025 11:36,47.46,receive,,user4029@upi,success,dev102418,tablet,intent,FALSE,FALSE,,Valid,Missing,Review,Valid,Valid
txn10000008,emily5320@upi,cust109937,5/10/2025 8:12,19.94,merchant_payment,merch1140,user8134@upi,success,dev109937,android,qr_code,FALSE,FALSE,,Valid,Valid,No Review,Valid,Valid
txn10000009,benjamin6424@upi,cust108084,12/24/2024 2:50,13.95,receive,,user9463@upi,success,dev200757,feature_phone,qr_code,FALSE,FALSE,,Valid,Missing,Review,Valid,Valid
txn10000010,jeffrey9510@upi,cust104201,8/10/2024 4:21,12.03,merchant_payment,merch1035,user5433@upi,success,dev104201,tablet,intent,FALSE,FALSE,,Valid,Valid,No Review,Valid,Valid
txn10000011,karen1926@upi,cust106710,7/17/2024 19:10,7.54,receive,,user7367@upi,failed,dev106710,ios,app,FALSE,FALSE,network_error,Valid,Missing,Review,Valid,Valid
txn10000012,adam2499@upi,cust108255,2/7/2023 20:03,17.88,bill_pay,merch1488,user3042@upi,success,dev108255,tablet,qr_code,FALSE,FALSE,,Valid,Valid,No Review,Valid,Valid
txn10000013,joshua9087@upi,cust104017,6/25/2025 12:09,41.57,send,,user3332@upi,failed,dev104017,feature_phone,intent,FALSE,TRUE,incorrect_pin,Valid,Missing,Review,Valid,Valid
txn10000014,angel2795@upi,cust108920,7/6/2025 15:50,12.38,merchant_payment,merch1104,user3678@upi,success,dev201752,feature_phone,intent,FALSE,FALSE,,Valid,Valid,No Review,Valid,Valid
txn10000015,justin9493@upi,cust109657,11/19/2023 22:17,32.62,receive,,user2990@upi,success,dev109657,tablet,qr_code,FALSE,FALSE,,Valid,Missing,Review,Valid,Valid
txn10000016,angela8155@upi,cust107334,5/16/2025 8:10,24.83,receive,,user6925@upi,success,dev107334,android,qr_code,FALSE,FALSE,,Valid,Missing,Review,Valid,Valid
txn10000017,casey9434@upi,cust107127,4/14/2025 3:33,12.49,send,,user9015@upi,success,dev107127,feature_phone,intent,FALSE,FALSE,,Valid,Missing,Review,Valid,Valid
txn10000018,william1809@upi,cust107688,7/20/2025 17:49,133.83,receive,,user7588@upi,success,dev107688,android,qr_code,FALSE,FALSE,,Valid,Missing,Review,Valid,Valid
txn10000019,james2860@upi,cust107713,4/30/2025 10:39,40.74,receive,,user9681@upi,success,dev107713,android,intent,FALSE,FALSE,,Valid,Missing,Review,Valid,Valid
txn10000020,tommy5467@upi,cust106600,7/7/2025 18:29,17.28,send,,user5235@upi,success,dev106600,tablet,app,FALSE,FALSE,,Valid,Missing,Review,Valid,Valid
txn10000021,justin9329@upi,cust102416,7/31/2025 7:07,28.74,send,,user7110@upi,success,dev102416,android,intent,FALSE,FALSE,,Valid,Missing,Review,Valid,Valid
txn10000022,joan6986@upi,cust107933,6/28/2025 15:45,172.12,receive,,user2548@upi,failed,dev107933,android,app,TRUE,FALSE,incorrect_pin,Valid,Missing,Review,Valid,Valid
txn10000023,shawn9424@upi,cust102345,3/5/2024 4:24,29.79,receive,,user3226@upi,success,dev102345,android,intent,FALSE,FALSE,,Valid,Missing,Review,Valid,Valid
txn10000024,mary3723@upi,cust104083,1/25/2024 19:54,34.99,receive,,user8425@upi,success,dev104083,tablet,intent,FALSE,FALSE,,Valid,Missing,Review,Valid,Valid
txn10000025,laurie8534@upi,cust100289,3/13/2025 5:02,10,receive,,user7309@upi,success,dev100289,ios,qr_code,FALSE,FALSE,,Valid,Missing,Review,Valid,Valid
txn10000026,ryan5159@upi,cust106149,11/14/2024 7:36,13.79,receive,,user4650@upi,success,dev106149,ios,qr_code,FALSE,FALSE,,Valid,Missing,Review,Valid,Valid
txn10000027,jonathan9878@upi,cust108539,2/14/2025 23:36,62.5,receive,,user8212@upi,success,dev108539,tablet,qr_code,FALSE,FALSE,,Valid,Missing,Review,Valid,Valid
txn10000028,elizabeth2586@upi,cust101429,5/27/2024 10:44,14.09,receive,,user2607@upi,success,dev101429,ios,app,FALSE,FALSE,,Valid,Missing,Review,Valid,Valid
txn10000029,michael8794@upi,cust106987,7/22/2025 12:10,26.84,merchant_payment,merch1419,user3454@upi,success,dev106987,tablet,intent,FALSE,FALSE,,Valid,Valid,No Review,Valid,Valid
txn10000030,carmen7901@upi,cust104066,4/25/2023 9:47,31.04,send,,user3762@upi,success,dev104066,tablet,intent,FALSE,FALSE,,Valid,Missing,Review,Valid,Valid
